Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Male,Liver,photon,10.0,2500,0.009300000000000001,0.0025,0.6782558,0.0,0.0,2.501771378452449e-16,0.34412650737107486,34.412650737107484,2.5553979786606316e-16,,,0.00794735942573919,0.004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,2700,0.0889,0.0834,0.2548391400000001,0.0,0.0,1.6004753647730567e-16,0.1999168311204135,19.99168311204135,1.6040370622243858e-16,,,0.07596991967185096,0.15319617927994122,,,,,,,,,,
Adult Male,Liver,photon,10.0,2900,0.07840000000000001,0.043340000000000004,0.21864489,0.0,0.0,1.3301594486670191e-16,0.4164888804307974,41.648888043079744,1.3352607151919328e-16,,,0.06699709451375833,0.0796105804555474,,,,,,,,,,
Adult Male,Liver,photon,10.0,3000,,0.00086,0.23746559999999997,,0.0,,,,9.646930140005613e-17,,,,0.001579720793534166,,,,,,,,,,
Adult Male,Liver,photon,10.0,3200,,0.04783,0.009130999,,0.0,,,,1.1900286974831474e-17,,,,0.08785819250551065,,,,,,,,,,
Adult Male,Liver,photon,10.0,3300,,0.00067,0.06336814,,0.0,,,,2.414111280838331e-18,,,,0.001230712711241734,,,,,,,,,,
Adult Male,Liver,photon,10.0,3500,,0.08738,0.024275799999999997,,0.0,,,,1.708503273127766e-17,,,,0.16050698016164586,,,,,,,,,,
Adult Male,Liver,photon,10.0,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009221160911094782,,,,,,,,,,
Adult Male,Liver,photon,10.0,3800,,0.0422,0.0088548,,0.0,,,,2.1538219480941183e-17,,,,0.0775165319617928,,,,,,,,,,
Adult Male,Liver,photon,10.0,4000,0.0094,0.002,0.4054154,0.0,0.0,2.5366177294765277e-16,0.5273785377662821,52.73785377662821,2.5657322742115075e-16,,,0.00803281490343531,0.0036737692872887582,,,,,,,,,,
Adult Male,Liver,photon,10.0,4200,0.2052,0.0517,0.7805887290000001,0.0,0.0,3.211698875458834e-16,0.15017964653135285,15.017964653135286,3.239881613780574e-16,,,0.17535464023243888,0.0949669360764144,,,,,,,,,,
Adult Male,Liver,photon,10.0,4400,0.18880000000000002,0.0298,2.44381818,0.0,0.0,9.892664614526123e-16,0.05231160354837899,5.2311603548378995,9.991266862763712e-16,,,0.16133994189027517,0.0547391623806025,,,,,,,,,,
Adult Male,Liver,photon,10.0,4600,0.032799999999999996,0.009800000000000001,1.16991649,0.0,0.0,5.295778701210224e-16,0.14601969143262175,14.601969143262176,5.347472209262627e-16,,,0.028029396684327457,0.018001469507714918,,,,,,,,,,
Adult Male,Liver,photon,10.0,4800,0.0456,0.0115,0.45919160000000003,0.0,0.0,2.676429558658589e-16,0.448701302052687,44.8701302052687,2.694319198404412e-16,,,0.03896769782943087,0.02112417340191036,,,,,,,,,,
Adult Male,Liver,photon,10.0,5000,0.18880000000000002,0.0269,2.997641072,0.0,0.0,1.241529354743783e-15,0.10076094818213811,10.07609481821381,1.2537708711111032e-15,,,0.16133994189027517,0.0494121969140338,,,,,,,,,,
Adult Male,Liver,photon,10.0,5200,0.1439,0.023399999999999997,2.2417541,0.0,0.0,8.11463864503069e-16,0.14146485461369468,14.146485461369467,8.195522659113895e-16,,,0.12297043240471713,0.042983100661278466,,,,,,,,,,
Adult Male,Liver,photon,10.0,5400,0.1159,0.0206,1.0675377,0.0,0.0,3.5410613409446864e-16,0.2791526222724309,27.915262227243087,3.5942502395582324e-16,,,0.09904289864980344,0.03783982365907421,,,,,,,,,,
Adult Male,Liver,photon,10.0,5600,0.0363,0.0055,2.1948797,0.0,0.0,8.7864816937807875e-16,0.23791958055130452,23.79195805513045,8.870121823614125e-16,,,0.031020338403691672,0.010102865540044085,,,,,,,,,,
