[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   71    4700   3.7603E+01   4.2954E-14  0.0955
   72    4800   6.6963E+01   5.4987E-14  0.1067
   73    4900   1.0810E+02   1.7789E-14  0.0967
   74    5000   2.5177E+02   1.7789E-14  0.1092
   75    5100   8.2025E+01   7.5403E-16  0.5203
   76    5200   2.2745E+02   1.4772E-15  0.4609
   77    5300   4.2143E+01   8.8617E-16  0.5267
   78    5400   1.4719E+02   1.0666E-15  0.5759
   79    5500   8.8513E-01   1.5979E-14  0.3739
   80    5600   4.7854E+01   1.4501E-14  0.2970
   81    5700   3.8179E+01   4.6663E-15  0.3293
   82    5800   6.3103E+01   1.6612E-14  0.1502
   83    6100   1.2964E+03   5.3593E-15  0.1214
   84    6200   1.6141E+02   9.9780E-15  0.2192
   85    6300   1.0038E+02   4.2828E-15  0.3720
   86    6400   1.6141E+02   9.0462E-15  0.2479
   87    6500   1.0038E+02   7.0756E-15  0.3389
   88    6600   3.6688E-02   0.0000E+00  0.0000
   89    6601   1.7856E-01   0.0000E+00  0.0000
   90    6700   1.0121E+00   2.4439E-15  0.7238
   91    6701   3.0007E-01   0.0000E+00  0.0000
   92    6702   5.9379E+00   1.1553E-14  0.9938
   93    6800   3.6688E-02   0.0000E+00  0.0000
   94    6801   1.7856E-01   0.0000E+00  0.0000
   95    6900   1.0121E+00   8.1197E-15  0.6432
   96    6901   3.0007E-01   0.0000E+00  0.0000
   97    6902   5.9379E+00   1.5644E-14  0.6143
   98    7000   7.9545E+00   8.5698E-16  1.0000
   99    7100   4.6602E+01   3.5280E-15  0.8140
  100    7200   1.5067E+00   1.6360E-15  0.4253
  101    7201   1.0075E+00   1.6054E-15  0.4308
  102    7202   5.0735E+00   2.2885E-15  0.4832
  103    7203   1.5928E+02   1.8049E-15  0.3422
  104    7300   2.2115E+02   2.6991E-15  0.3944
  105    7400   1.1912E+01   1.2145E-15  0.4856
  106    7401   1.8549E+00   8.0940E-16  0.4217
  107    7402   4.6631E+00   8.1827E-16  0.4216
  108    7403   7.1106E+02   8.7785E-16  0.2925
  109    7500   4.3487E+01   9.9761E-16  0.3437
  110    7501   2.2574E+02   1.0243E-15  0.4293
  111    7600   4.2962E+00   1.9246E-16  1.0000
  112    7601   3.1071E-01   1.9626E-16  1.0000
  113    7602   1.0404E+02   1.5963E-16  0.8421
  114    7700   9.6161E+01   2.7864E-16  0.9596
  115    7800   3.5523E+00   2.7176E-16  1.0000
  116    7801   2.5706E-01   2.8102E-16  1.0000
  117    7802   6.2594E+01   7.5587E-16  0.6962
  118    7900   5.7687E+01   5.8058E-16  0.9921
  119    8000   2.1197E+00   0.0000E+00  0.0000
  120    8001   1.5444E-01   0.0000E+00  0.0000
  121    8002   6.4120E+01   8.9410E-16  0.7065
  122    8100   2.8851E+01   0.0000E+00  0.0000
  123    8200   2.9158E+00   0.0000E+00  0.0000
  124    8201   2.1191E-01   0.0000E+00  0.0000
  125    8202   1.0552E+02   2.4674E-16  0.9428
  126    8300   4.8080E+01   0.0000E+00  0.0000
  127    8400   4.0753E+00   3.7921E-16  0.7092
  128    8401   2.9530E-01   3.7523E-16  0.7093
  129    8402   4.9962E+01   8.9398E-16  0.5604
  130    8500   7.6916E+01   1.2148E-15  0.6021
  131    8600   3.0181E+01   3.2066E-16  1.0000
  132    8700   2.7677E+02   9.2042E-15  0.1581
  133    8800   3.4906E+02   8.8218E-15  0.1746
  134    8900   1.4172E+02   1.3561E-15  0.7669
  135    9000   3.5590E+01   3.3554E-18  1.0000
  136    9100   7.1238E+00   1.3614E-17  1.0000
  137    9200   1.1896E+02   1.7368E-15  0.5122
  138    9300   2.9886E+01   1.6473E-15  1.0000
  139    9400   5.9810E+00   1.7883E-15  1.0000
  140    9500   1.7075E+03   2.1309E-15  0.1606
  141    9700   1.0345E+03   1.2912E-14  0.1190
  142    9900   1.2652E+03   1.3037E-14  0.1139
  143   10000   1.2302E+01   1.8481E-14  0.3149
  144   10100   1.2302E+01   1.4103E-14  0.3532
  145   10200   4.2497E+00   6.5411E-14  0.2628
  146   10300   1.0043E+02   1.8754E-15  0.3692
  147   10400   8.4995E+00   9.3891E-16  1.0000
  148   10500   8.4994E+00   0.0000E+00  0.0000
  149   10600   4.2383E+02   2.2205E-14  0.0859
  150   10700   7.9284E+03   7.0152E-15  0.0363
  151   10800   1.4094E+03   1.8330E-15  0.1672
  152   10900   7.3112E+03   8.5562E-17  0.3795
  153   11000   1.8060E+00   8.2218E-14  0.1724
  154   11001   9.7121E-02   9.8382E-14  0.2892
  155   11002   3.9813E+01   7.4938E-14  0.1159
  156   11003   2.0423E+01   8.2459E-14  0.1613
  157   11100   6.0117E+00   2.7693E-15  1.0000
  158   11200   6.0117E+00   9.7535E-15  1.0000
  159   11300   1.3859E+02   1.0040E-15  0.7304
  160   11400   5.9659E-01   1.2918E-15  0.7551
  161   11600   8.9275E+02   1.2764E-14  0.0734
  162   11700   1.2171E+04   4.9538E-15  0.0321
  163   11800   2.2955E+03   1.9755E-15  0.1431
  164   11900   8.2410E+03   8.0388E-17  0.3591
  165   12000   3.4801E+01   2.3840E-14  0.2532
  166   12100   3.4801E+01   1.9485E-14  0.3274
  167   12200   1.4300E+02   6.6731E-15  0.1112
  168   12201   5.8129E+00   6.2667E-15  0.1356
  169   12300   8.0106E+02   4.4188E-15  0.0620
