Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145,Female,Stem cells of small intestine,SI-stem,7401,1.7115965627327447,1.9216446127782374,12.272053743209717
ICRP145,Female,Spleen,Spleen,12700,166.9161382670743,187.3999945542682,12.271944762116824
ICRP145,Female,Thymus,Thymus,13100,18.2617220785338,20.502791314985984,12.271949090094326
ICRP145,Female,Uterus/cervix,Uterus,13900,73.03085942050788,81.99316851617225,12.271948004965761
ICRP145,Female,Tongue,Tongue,500_13300_13301,56.35691970188359,61.476663648270126,9.084499247774573
ICRP145,Female,Tonsils,Tonsils,13400,2.8321214487124466,3.0754149243094386,8.590502914611918
ICRP145,Female,Right colon wall (ascending + right transverse),RC-wall,7600_7601_7602_7800_7801_7802,161.52803497488043,181.35065812567535,12.271939761959949
ICRP145,Female,Left colon wall (left transverse + descending),LC-wall,8000_8001_8002_8200_8201_8202,161.5226770036315,181.34467056814742,12.27195706028961
ICRP145,Female,Rectosigmoid colon wall (sigmoid + rectum),RS-wall,8400_8401_8402_8600,77.98384910877874,87.55652724777582,12.27520601816443
ICRP145,Female,Stem cells of right colon (ascending + right transverse),RC-stem,7601_7801,0.5239121420211996,0.58820866356296,12.272386223711274
ICRP145,Female,Stem cells of left colon (left transverse + descending),LC-stem,8001_8201,0.3380582850684867,0.37953320228549386,12.26856996230838
ICRP145,Female,Stem cells of rectosigmoid colon (sigmoid + rectum),RSig-stem,8401,0.2724839487321792,0.30592692673032784,12.273375424039862
ICRP145,Female,Basal cells of anterior nasal passages,ET1-bas,302,0.010078703608281862,0.010893182985760566,8.081191878779244
ICRP145,Female,Basal cells of posterior nasal passages + pharynx,ET2-bas,402,0.0665560994452484,0.07230681899474375,8.640409515323409
ICRP145,Female,Extrathoracic lymph nodes,LN-ET,10000,11.730053672539896,12.695470454476366,8.230284437628066
ICRP145,Female,Bronchi basal cells,Bronch-bas,804_805,0.02849936082242499,0.03199871332349856,12.278705206328944
ICRP145,Female,Bronchi secretory cells,Bronch-sec,803_804,0.05671607192458314,0.06367896764915759,12.276759458647277
ICRP145,Female,Bronchiolar secretory cells,Brchiol-sec,813,0.0,0.0,
ICRP145,Female,Alveolar-interstitium,AI,9700_9900,845.9578457139596,949.7733446006667,12.27194704945261
ICRP145,Female,Thoracic lymph nodes,LN-Th,10100,11.307762833683439,12.695442566577848,12.271921097962927
ICRP145,Female,Right lung lobe,RLung,9900,465.4036237031395,522.517709631839,12.27194697674509
ICRP145,Female,Left lung lobe,LLung,9700,380.55422201082007,427.25563496882774,12.271947138371212
ICRP145,Female,Right adrenal gland,RAdrenal,200,7.703218256794416,8.648553977873142,12.271958155215435
ICRP145,Female,Left adrenal gland,LAdrenal,100,6.071448112350957,6.816533157629252,12.271949483725162
ICRP145,Female,Right breast adipose,RBreast-a,6400,147.17322653384187,153.66330353990477,4.4098217854662165
ICRP145,Female,Right breast glandular,RBreast-g,6500,91.2885780331,102.49146139059859,12.271944200332028
ICRP145,Female,Left breast adipose,LBreast-a,6200,147.12110663808974,153.6633058179418,4.446812105584223
ICRP145,Female,Left breast glandular,LBreast-g,6300,91.28857509325019,102.4914601223685,12.271946426674633
ICRP145,Female,RBreast-a + RBreast-g,RBreast,6400_6500,238.46180456694185,256.15476493050335,7.41962025981174
ICRP145,Female,LBreast-a + LBreast-g,LBreast,6200_6300,238.40968173133993,256.1547659403103,7.443105531665041
ICRP145,Female,RBreast-a + LBreast-a,Breast-a,6200_6400,294.2943331719316,307.32660935784656,4.428313670009161
ICRP145,Female,RBreast-g + LBreast-g,Breast-g,6300_6500,182.5771531263502,204.9829215129671,12.271945313503311
ICRP145,Female,Entire lens of eye,Lens-ent,6600_6601_6800_6801,0.4250016647954176,0.4563200428692029,7.369001269409373
ICRP145,Female,Sensitive lens of eye,Lens-sen,6600_6800,0.07244058439860024,0.07777881370884107,7.369114087853745
ICRP145,Female,Right kidney cortex,RKidney-C,9200,111.46747823643939,125.14670252811037,12.271942012230035
ICRP145,Female,Right kidney medulla,RKidney-M,9300,28.00323397048926,31.43977765770199,12.271952913846572
ICRP145,Female,Right kidney pelvis,RKidney-P,9400,5.604213010212043,6.291959956334409,12.271962983368901
ICRP145,Female,Right kidney C+M+P,RKidney,9200_9300_9400,145.0749252171407,162.87844014214676,12.27194492663613
ICRP145,Female,Left kidney cortex,LKidney-C,8900,132.7946008488992,149.09108200689556,12.271945586507222
ICRP145,Female,Left kidney medulla,LKidney-M,9000,33.34864965330282,37.44117632849867,12.271941196247292
ICRP145,Female,Left kidney pelvis,LKidney-P,9100,6.675083180733894,7.4942480159186475,12.27197943463964
ICRP145,Female,Left kidney C+M+P,LKidney,8900_9000_9100,172.81833368293593,194.0265063513129,12.27194604670063
ICRP145,Female,Right ovary,ROvary,11200,5.627653310417494,6.3182755885017565,12.271940718271217
ICRP145,Female,Left ovary,LOvary,11100,5.62764938985794,6.3182720948228885,12.271956853061567
ICRP145,Female,Pituitary gland,P-gland,11400,0.5736272725586633,0.6150875891179538,7.22774500841929
ICRP145,Female,Spinal cord,Sp-cord,12600,17.139528814037053,19.098306243806675,11.428420530238897
ICRP145,Female,Ureters,Ureters,13500_13600,13.696295484507871,15.37709677012047,12.271940887328139
ICRP145,Female,Adipose/residual tissue,Adipose,11600,22170.762514499675,844.5432189000495,-96.19073444881421
ICRP145_RESIZED,Male,Red (active) marrow,R-marrow,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,2896.3451151058944,2896.3451151058944,0.0
ICRP145_RESIZED,Male,Colon wall,Colon,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,436.26301101385485,436.26301101385485,0.0
ICRP145_RESIZED,Male,Stem cells of colon,Colon-stem,7601_7801_8001_8201_8401,1.1005800313425569,1.1005800313425569,0.0
