Phantom Group,Sex,Quantity,Organ ID,Organ/tissue,Reference (cm or g),Value (cm or g),% Error
ICRP145,Male,Organ,7900,"Transverse colon contents, right",84.06022207292696,95.00000216962,13.01421745852892
ICRP145,Male,Organ,8000,"Transverse colon wall, left, 0~280 um",2.498509363501947,2.8236702141862247,13.014193800279674
ICRP145,Male,Organ,8001,"Transverse colon wall, left, 280~300 um",0.18136970954333712,0.20497231897973225,13.013534341441643
ICRP145,Male,Organ,8002,"Transverse colon wall, left, 300 um~surface",68.0657945148379,76.92402449697593,13.01421667855062
ICRP145,Male,Organ,8100,"Transverse colon contents, left",35.39376875088367,39.99999290714094,13.014223460287106
ICRP145,Male,Organ,8200,"Descending colon wall, 0~280 um",2.459366966458215,2.7794343898997775,13.014219830011713
ICRP145,Male,Organ,8201,"Descending colon wall, 280~300 um",0.1799082871294559,0.2033227535922421,13.014668104720473
ICRP145,Male,Organ,8202,"Descending colon wall, 300 um~surface",103.47920490383099,116.94622050882549,13.014224082519915
ICRP145,Male,Organ,8300,Descending colon contents,30.969562053571494,35.00000917722327,13.014220597242748
ICRP145,Male,Organ,8400,"Sigmoid colon wall, 0~280 um",3.9383921869764693,4.450942356500349,13.01419831216372
ICRP145,Male,Organ,8401,"Sigmoid colon wall, 280~300 um",0.28629542838656874,0.32356275509517063,13.017087600253923
ICRP145,Male,Organ,8402,"Sigmoid colon wall, 300 um~surface",42.937215701710805,48.52422396478801,13.012041353334865
ICRP145,Male,Organ,8500,Sigmoid colon contents,66.36332399929212,74.99999544936816,13.014223715147482
ICRP145,Male,Organ,8600,Rectum wall,35.372822991304204,39.97632661810045,13.014238721992696
ICRP145,Male,Organ,8700,Heart wall,341.40731112772846,385.8388144993086,13.014221407507382
ICRP145,Male,Organ,8800,Blood in heart chamber,451.2706250433623,510.0000095221753,13.014227210816056
ICRP145,Male,Organ,8900,"Kidney, left, cortex",143.6442636351903,162.33844661404672,13.014221734836248
ICRP145,Male,Organ,9000,"Kidney, left, medulla",33.94199459608314,38.35928191888284,13.014224341752298
ICRP145,Male,Organ,9100,"Kidney, left, pelvis",6.770647506720763,7.651796291936333,13.014246928981501
ICRP145,Male,Organ,9200,"Kidney, right, cortex",147.36370239894558,166.54194565312235,13.014224630606188
ICRP145,Male,Organ,9300,"Kidney, right, medulla",34.82936822852215,39.362138158463054,13.01421805931286
ICRP145,Male,Organ,9400,"Kidney, right, pelvis",6.9836222854053345,7.89248678926693,13.01422767037356
ICRP145,Male,Organ,9500,Liver,2088.232684650478,2360.00000489757,13.014225964602192
ICRP145,Male,Organ,9700,"Lung (AI), left",483.01607760957955,545.8768933536599,13.014228440422745
ICRP145,Male,Organ,9900,"Lung (AI), right",577.6807739263216,652.8614495578809,13.014224988063717
ICRP145,Male,Organ,10000,"Lymphatic nodes, ET",14.81599759293954,15.949185997804115,7.648411102635352
ICRP145,Male,Organ,10100,"Lymphatic nodes, thoracic",14.112556659780322,15.949205446656883,13.014288134699683
ICRP145,Male,Organ,10200,"Lymphatic nodes, head",4.952650682455826,5.509725193861101,11.248007322193034
ICRP145,Male,Organ,10300,"Lymphatic nodes, trunk",114.92650386344735,130.20352238277857,13.292859354255631
ICRP145,Male,Organ,10400,"Lymphatic nodes, arms",9.7503628114126,11.019452424564799,13.01581938742582
ICRP145,Male,Organ,10500,"Lymphatic nodes, legs",9.691440718205955,11.019453548127908,13.702945398275002
ICRP145,Male,Organ,10600,"Muscle, head",26267.36323333447,1200.8277988924913,-95.42844179590668
ICRP145,Male,Organ,10700,"Muscle, trunk",0.0,14844.72969345579,
ICRP145,Male,Organ,10800,"Muscle, arms",0.0,2843.506922075566,
ICRP145,Male,Organ,10900,"Muscle, legs",0.0,10887.729125201768,
ICRP145,Male,Organ,11000,"Oesophagus wall, 0~190 um",1.6984718218537311,1.9193930012782567,13.007055906491857
ICRP145,Male,Organ,11001,"Oesophagus wall, 190~200 um",0.09120915065870157,0.1030714170553999,13.005566120318488
ICRP145,Male,Organ,11002,"Oesophagus wall, 200 um~surface",44.060642942923664,49.78305164129575,12.987574207178312
ICRP145,Male,Organ,11003,Oesophagus contents,20.236553297537302,22.869997657089186,13.01330478976557
ICRP145,Male,Organ,11300,Pancreas,153.6366754934898,173.63129558992782,13.014223350130525
ICRP145,Male,Organ,11400,Pituitary gland,0.587518741194832,0.6218196488304819,5.838266123373764
ICRP145,Male,Organ,11500,Prostate,15.589316664667244,17.618144186398624,13.014217142241142
ICRP145,Male,Organ,11600,"RST, head",15614.359488339216,975.6224151055426,-93.75176153825498
ICRP145,Male,Organ,11700,"RST, trunk",0.0,11176.90036487355,
ICRP145,Male,Organ,11800,"RST, arms",0.0,1549.841514616755,
