Table D.1  -  Photon Dose Response Functions for Regional Absorbed Dose in the Skeletal Tissues of the ICRP Reference Phantoms (Gy m2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  14,,,Organ ID:  15,,,Organ ID:  17,,,Organ ID:  18,,,Organ ID:  20,,,Organ ID:  21,,,Organ ID:  23,,,,,
,"Humeri, upper half",,,"Humeri, upper half",,,"Humeri, lower half",,,"Humeri, lower half",,,Ulnae and Radii,,,Ulnae and Radii,,,Wrist and Hands,,,,,
Photon,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
4.0,1.32E-15,1.32E-15,,1.31E-15,1.31E-15,,1.32E-15,1.32E-15,,NA,1.33E-15,,NA,1.32E-15,,NA,1.33E-15,,NA,1.32E-15,,,,
5.0,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,1.54E-15,1.54E-15,,NA,1.54E-15,,NA,1.54E-15,,NA,1.54E-15,,NA,1.54E-15,,,,
6.0,1.75E-15,1.75E-15,,1.76E-15,1.76E-15,,1.75E-15,1.75E-15,,NA,1.74E-15,,NA,1.75E-15,,NA,1.74E-15,,NA,1.75E-15,,,,
8.0,2.17E-15,2.17E-15,,2.22E-15,2.22E-15,,2.17E-15,2.17E-15,,NA,2.13E-15,,NA,2.17E-15,,NA,2.13E-15,,NA,2.16E-15,,,,
10.0,2.59E-15,2.59E-15,,2.69E-15,2.69E-15,,2.60E-15,2.60E-15,,NA,2.52E-15,,NA,2.59E-15,,NA,2.52E-15,,NA,2.58E-15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  36,,,Organ ID:  38,,,Organ ID:  40,,,Organ ID:  42,,,Organ ID:  44,,,Organ ID:  46,,,Organ ID:  48,,,,,
,Tibiae and Fibulae,,,Ankles and Feet,,,Mandible,,,Pelvis,,,Ribs,,,Scapulae,,,"Spine, Cervical",,,,,
Photon,Source: medullary cavity,,,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
0.010,NA,4.38E-16,,NA,5.11E-16,,6.14E-16,5.56E-16,,6.16E-16,5.13E-16,,6.18E-16,6.15E-16,,6.16E-16,5.74E-16,,6.19E-16,5.96E-16,,,,
0.015,NA,1.79E-16,,NA,2.35E-16,,2.58E-16,2.54E-16,,2.60E-16,2.35E-16,,2.62E-16,2.77E-16,,2.60E-16,2.63E-16,,2.64E-16,2.71E-16,,,,
