[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   67    4300   1.9370E+02   1.0466E-14  0.0718
   68    4400   3.9090E+02   1.0795E-14  0.0837
   69    4500   1.1730E+02   2.0447E-15  0.2423
   70    4600   1.3045E+02   3.9346E-15  0.3384
   71    4700   5.4592E+01   1.0332E-15  0.4675
   72    4800   7.5229E+01   1.9123E-15  0.4947
   73    4900   1.5202E+02   7.9299E-15  0.1116
   74    5000   3.2264E+02   9.2102E-15  0.1311
   75    5100   9.8764E+01   4.6770E-15  0.1841
   76    5200   2.6316E+02   5.0879E-15  0.2146
   77    5300   5.7941E+01   1.7269E-15  0.4114
   78    5400   1.8608E+02   2.0865E-15  0.4757
   79    5500   5.2471E+00   8.4832E-15  0.2873
   80    5600   5.9001E+01   1.0323E-14  0.3319
   81    5700   5.1257E+01   1.1999E-14  0.1891
   82    5800   7.4671E+01   8.5667E-15  0.2135
   83    6100   1.4576E+03   6.4612E-16  0.3368
   84    6200   8.1522E+00   0.0000E+00  0.0000
   85    6300   5.0736E+00   7.6458E-15  0.9986
   86    6400   8.1522E+00   4.9897E-15  0.8547
   87    6500   5.0736E+00   1.0500E-15  1.0000
   88    6600   3.6688E-02   0.0000E+00  0.0000
   89    6601   1.7856E-01   0.0000E+00  0.0000
   90    6700   1.0121E+00   0.0000E+00  0.0000
   91    6701   3.0007E-01   0.0000E+00  0.0000
   92    6702   5.9379E+00   0.0000E+00  0.0000
   93    6800   3.6688E-02   0.0000E+00  0.0000
   94    6801   1.7856E-01   0.0000E+00  0.0000
   95    6900   1.0121E+00   0.0000E+00  0.0000
   96    6901   3.0007E-01   0.0000E+00  0.0000
   97    6902   5.9379E+00   0.0000E+00  0.0000
   98    7000   1.0052E+01   5.5248E-14  0.1946
   99    7100   5.6311E+01   4.0538E-14  0.1638
  100    7200   1.7201E+00   2.4069E-14  0.2129
  101    7201   1.1503E+00   2.3794E-14  0.2080
  102    7202   5.7937E+00   2.1027E-14  0.1776
  103    7203   1.7868E+02   2.3006E-14  0.1144
  104    7300   2.4038E+02   1.7339E-14  0.1329
  105    7400   1.4028E+01   4.3609E-15  0.1892
  106    7401   2.1836E+00   5.5169E-15  0.3153
  107    7402   5.4888E+00   4.8691E-15  0.2422
  108    7403   8.1012E+02   5.6242E-15  0.1005
  109    7500   5.1286E+01   5.0133E-15  0.1856
  110    7501   2.8525E+02   4.9958E-15  0.1717
  111    7600   2.9619E+00   7.8181E-15  0.4306
  112    7601   2.1538E-01   7.4557E-15  0.5124
  113    7602   1.1247E+02   8.2830E-15  0.2606
  114    7700   5.2885E+01   5.8619E-15  0.3807
  115    7800   3.8502E+00   2.1172E-14  0.1775
  116    7801   2.7831E-01   2.1171E-14  0.2062
  117    7802   7.2971E+01   2.4864E-14  0.1415
  118    7900   9.1346E+01   2.9251E-14  0.1690
  119    8000   2.7229E+00   1.0343E-14  0.3264
  120    8001   1.9766E-01   9.1255E-15  0.3296
  121    8002   7.4179E+01   8.9431E-15  0.2366
  122    8100   3.8462E+01   8.2628E-15  0.3250
  123    8200   2.6803E+00   1.0792E-15  0.7592
  124    8201   1.9607E-01   1.1703E-15  0.7777
  125    8202   1.1277E+02   2.2575E-15  0.3777
  126    8300   3.3654E+01   1.8798E-15  0.6226
  127    8400   4.2921E+00   1.8412E-16  0.9479
  128    8401   3.1202E-01   1.7021E-16  1.0000
  129    8402   4.6784E+01   1.0952E-15  0.6445
  130    8500   7.2115E+01   6.0211E-16  0.9052
  131    8600   3.8550E+01   0.0000E+00  0.0000
  132    8700   3.6712E+02   1.4451E-14  0.1024
  133    8800   4.8113E+02   1.3578E-14  0.1159
  134    8900   1.5417E+02   5.7550E-15  0.2418
  135    9000   3.6429E+01   2.8035E-15  0.5153
  136    9100   7.2667E+00   1.3037E-14  0.6961
  137    9200   1.5816E+02   2.0490E-14  0.1431
  138    9300   3.7381E+01   1.8422E-14  0.2680
  139    9400   7.4952E+00   9.6171E-15  0.6155
  140    9500   2.2264E+03   4.5620E-14  0.0313
  141    9700   1.3154E+03   5.0295E-15  0.1485
  142    9900   1.5732E+03   1.5517E-14  0.0873
  143   10000   1.5455E+01   8.4667E-16  1.0000
  144   10100   1.5455E+01   1.2526E-14  0.3193
  145   10200   5.3389E+00   7.4497E-16  0.8773
  146   10300   1.2617E+02   3.1118E-15  0.2448
  147   10400   1.0678E+01   9.1299E-15  0.4495
  148   10500   1.0678E+01   0.0000E+00  0.0000
  149   10600   1.1436E+03   1.1881E-15  0.2516
  150   10700   1.4135E+04   3.4471E-15  0.0386
  151   10800   2.7080E+03   2.6339E-15  0.1037
  152   10900   1.0372E+04   1.6965E-16  0.2440
  153   11000   1.8509E+00   3.7607E-15  0.4015
  154   11001   9.9394E-02   3.7864E-15  0.4048
  155   11002   4.8007E+01   7.4029E-15  0.3013
