Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
Adult Male,Brain,photon,10.0,1000,2500,0.009300000000000001,0.0025,0.00011984506392780001,0.0,0.0,1.5197817729933931e-15,0.6907146621325356,69.07146621325356,1.5255475391145535e-15,,,0.00794735942573919,0.004592211609110948,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,2700,0.0889,0.0834,0.0022044936306389452,0.0,0.0,4.460673810400195e-14,0.026737982635390376,2.673798263539038,4.4620278521993304e-14,,,0.07596991967185096,0.15319617927994122,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,2900,0.07840000000000001,0.043340000000000004,0.0,0.0,0.0,0.0,,,0.0,,,0.06699709451375833,0.0796105804555474,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3000,,0.00086,0.0,,0.0,,,,0.0,,,,0.001579720793534166,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3200,,0.04783,0.0,,0.0,,,,0.0,,,,0.08785819250551065,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3300,,0.00067,0.0,,0.0,,,,0.0,,,,0.001230712711241734,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3500,,0.08738,0.0,,0.0,,,,0.0,,,,0.16050698016164586,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009221160911094782,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,3800,,0.0422,0.0,,0.0,,,,0.0,,,,0.0775165319617928,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,4000,0.0094,0.002,0.00064126985364528,0.0,0.0,1.0368168595145521e-14,0.28834490684492603,28.834490684492604,1.037854454539296e-14,,,0.00803281490343531,0.0036737692872887582,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,4200,0.2052,0.0517,4.90840947386e-06,0.0,0.0,5.856178348912429e-18,0.7071687934269558,70.71687934269558,5.856178348912429e-18,,,0.17535464023243888,0.0949669360764144,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,4400,0.18880000000000002,0.0298,8.261758161440899e-05,0.0,0.0,1.1603219659074239e-15,0.38216540734305465,38.21654073430547,1.1632211783535861e-15,,,0.16133994189027517,0.0547391623806025,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,4600,0.032799999999999996,0.009800000000000001,6.5673667351981e-05,0.0,0.0,1.2629608140948487e-15,0.47258460905008143,47.25846090500814,1.2629608140948487e-15,,,0.028029396684327457,0.018001469507714918,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,4800,0.0456,0.0115,0.0005525073588846601,0.0,0.0,8.825840764603297e-15,0.27974122461289824,27.974122461289824,8.83594248646937e-15,,,0.03896769782943087,0.02112417340191036,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,5000,0.18880000000000002,0.0269,0.000103786215663101,0.0,0.0,1.1980332106480828e-15,0.5657833126491776,56.57833126491776,1.2008106385786748e-15,,,0.16133994189027517,0.0494121969140338,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,5200,0.1439,0.023399999999999997,2.1618431065610004e-05,0.0,0.0,1.3460658589396292e-16,0.8018944563125308,80.18944563125308,1.3476495220560982e-16,,,0.12297043240471713,0.042983100661278466,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,5400,0.1159,0.0206,0.0,0.0,0.0,0.0,,,0.0,,,0.09904289864980344,0.03783982365907421,,,,,,,,,,
Adult Male,Brain,photon,10.0,1000,5600,0.0363,0.0055,0.000120880429853,0.0,0.0,2.8776882766781224e-15,0.9994998749370001,99.94998749370001,2.8776882766781224e-15,,,0.031020338403691672,0.010102865540044085,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,1400,0.0269,0.00941,0.00017191045882815,0.0,0.0,2.5105447057229913e-15,0.4709345224351826,47.09345224351826,2.5128960116742975e-15,0.06377063885684398,6.3770638856843975,0.022987523500256363,0.01728508449669361,1.1702000000000001,0.5444,5.497314704952515e-15,0.0646158425072591,6.4615842507259105,0.0034311539616129847,0.00022170690400174277,2.22286823130004e-15,0.001387405223699061,8.847571746861164e-05
Adult Male,Liver,photon,10.0,1000,1500,,0.00019,0.0004235098789081,,0.0,,,,5.1050582211352936e-15,,,,0.0003490080822924321,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,1700,,0.01125,0.00023747248214959997,,0.0,,,,3.7120374834386186e-15,,,,0.020664952240999266,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,1800,,0.00025,0.00015387603671740099,,0.0,,,,2.6806592379649903e-15,,,,0.0004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2000,,0.016309999999999998,0.00016536552812721001,,0.0,,,,2.3409850447670158e-15,,,,0.02995958853783982,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2100,,8.999999999999999e-05,0.00010255040289620002,,0.0,,,,2.3854487074265156e-15,,,,0.0001653196179279941,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2300,,0.0125,7.767307873405e-05,,0.0,,,,3.365363585774839e-16,,,,0.02296105804555474,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2500,0.009300000000000001,0.0025,0.00010994339175980002,0.0,0.0,9.518744674805962e-16,0.9420478021203984,94.20478021203984,9.554894534467362e-16,,,0.00794735942573919,0.004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2700,0.0889,0.0834,4.609336632544901e-05,0.0,0.0,6.354716207223735e-16,0.3982791673328412,39.82791673328412,6.36947390859821e-16,,,0.07596991967185096,0.15319617927994122,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,2900,0.07840000000000001,0.043340000000000004,2.98764158098e-05,0.0,0.0,4.0799528952935334e-16,0.9276920083346729,92.7692008334673,4.080469472869684e-16,,,0.06699709451375833,0.0796105804555474,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3000,,0.00086,0.0,,0.0,,,,0.0,,,,0.001579720793534166,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3200,,0.04783,4.42724609809e-06,,0.0,,,,1.1156806873159657e-16,,,,0.08785819250551065,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3300,,0.00067,0.0,,0.0,,,,0.0,,,,0.001230712711241734,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3500,,0.08738,1.3100841291960003e-05,,0.0,,,,1.6850579482152105e-16,,,,0.16050698016164586,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009221160911094782,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,3800,,0.0422,0.0,,0.0,,,,0.0,,,,0.0775165319617928,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,4000,0.0094,0.002,1.02233349274e-05,0.0,0.0,2.566069028393664e-16,0.9994998749370001,99.94998749370001,2.566069028393664e-16,,,0.00803281490343531,0.0036737692872887582,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,4200,0.2052,0.0517,0.0001599910884126298,0.0,0.0,1.9162366436586008e-15,0.25802949974139844,25.802949974139842,1.918616305768778e-15,,,0.17535464023243888,0.0949669360764144,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,4400,0.18880000000000002,0.0298,0.0007417443918580739,0.0,0.0,1.2140629612967014e-14,0.05733393034875747,5.733393034875747,1.2157930044765541e-14,,,0.16133994189027517,0.0547391623806025,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,4600,0.032799999999999996,0.009800000000000001,0.00016733815100683697,0.0,0.0,2.3729967111270317e-15,0.26239732700099916,26.239732700099914,2.3799120297332716e-15,,,0.028029396684327457,0.018001469507714918,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,4800,0.0456,0.0115,2.075028635356e-05,0.0,0.0,4.674900207157041e-16,0.861482073401165,86.1482073401165,4.674900207157041e-16,,,0.03896769782943087,0.02112417340191036,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,5000,0.18880000000000002,0.0269,0.0007522052144976525,0.0,0.0,1.2568193511882947e-14,0.1353038902118747,13.53038902118747,1.2583523862313844e-14,,,0.16133994189027517,0.0494121969140338,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,5200,0.1439,0.023399999999999997,0.00034894585649962,0.0,0.0,4.1408235203260964e-15,0.24034419582424263,24.034419582424263,4.148728989739714e-15,,,0.12297043240471713,0.042983100661278466,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,5400,0.1159,0.0206,0.00011543348267377999,0.0,0.0,1.0642606529032554e-15,0.5723915792050511,57.239157920505114,1.0667528922465687e-15,,,0.09904289864980344,0.03783982365907421,,,,,,,,,,
Adult Male,Liver,photon,10.0,1000,5600,0.0363,0.0055,0.0005920896939175,0.0,0.0,1.0718388522574978e-14,0.2976952506471289,29.769525064712887,1.0720191313453295e-14,,,0.031020338403691672,0.010102865540044085,,,,,,,,,,
