Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
ICRP 145 Adult Female,Brain,photon,10.0,1000,3200,,0.02367,0.0,,0.0,,,,0.0,,,,0.05808446418492797,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,3500,,0.07991,0.0,,0.0,,,,0.0,,,,0.1960933474025177,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,4000,0.0072,0.0016,0.0006105449403937001,0.0,0.0,1.3575303295744072e-14,0.2474203561666817,24.742035616668172,1.3578563688264808e-14,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,4200,0.1575,0.039700000000000006,4.65773237556e-06,0.0,0.0,4.257626085220355e-18,0.6528674350395361,65.28674350395362,4.279739860870726e-18,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,4400,0.1449,0.0229,7.032655995551001e-05,0.0,0.0,1.0615950647960014e-15,0.3941927227054771,39.41927227054771,1.0622270248509103e-15,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,4600,0.0252,0.0076,0.000148454630893128,0.0,0.0,1.5694696662901427e-15,0.4516094810485147,45.16094810485147,1.5739384554535078e-15,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,4800,0.0351,0.0088,0.0009745182626278601,0.0,0.0,1.790791597392963e-14,0.24713465199544285,24.713465199544284,1.7919460088712903e-14,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,5000,0.1449,0.0206,8.860537620388e-05,0.0,0.0,9.481473004506894e-16,0.672189444319029,67.21894443190291,9.508943329742527e-16,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,5200,0.1107,0.018,6.509283825529999e-06,0.0,0.0,3.8327673590831324e-18,0.8165749665198874,81.65749665198874,3.9857265370593615e-18,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,5400,0.0891,0.0158,4.2121100394e-06,0.0,0.0,2.0547051949289273e-18,0.9994998749370001,99.94998749370001,2.2205763057855866e-18,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,5600,0.027899999999999998,0.0043,0.00025524812747332,0.0,0.0,6.4068484320195705e-15,0.8889408553723108,88.89408553723108,6.4068484320195705e-15,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
ICRP 145 Adult Female,Liver,photon,0.01,1000,1400,0.0207,0.0071600000000000006,0.0,0.0,0.0,0.0,,,0.0,,,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,0.0,,,0.0,,0.0,0.0,
ICRP 145 Adult Female,Liver,photon,0.01,1000,1500,,0.00014000000000000001,0.0,,0.0,,,,0.0,,,,0.0003435498515373856,,,,,,,,,,
ICRP 145 Adult Female,Liver,photon,0.01,1000,1700,,0.008320000000000001,0.0,,0.0,,,,0.0,,,,0.02041667689136463,,,,,,,,,,
ICRP 145 Adult Female,Liver,photon,0.01,1000,1800,,0.00019,0.0,,0.0,,,,0.0,,,,0.0004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Liver,photon,0.01,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.029520747957105343,,,,,,,,,,
